SubplotID,fraction,Species,bag_no,BagTare_g,BagMass_g,Year,Notes
A04E,leaf,quru,,7.2,13.9,2018,
A04E,leaf,bepa,,7.1,7.1,2018,
A04E,misc,,,7.2,20.6,2018,
A04E,fwd,,,7.2,20,2018,
A02W,leaf,fagr,,22.5,42.8,2018,
A02W,leaf,pogr,,6.9,9.1,2018,
A02W,leaf,acsa,,22.5,106.4,2018,
A02W,leaf,pogr,,22.5,112.2,2018,
A02W,leaf,quru,,6.9,8.5,2018,
A02W,leaf,bepa,,6.9,7.1,2018,
A02W,misc,,,6.9,13,2018,
A02W,fwd,,,6.9,28.8,2018,
A02W,leaf,acru,,15.4,30.9,2018,
A02W,leaf,pogr,,22.2,69.6,2018,
A03E,leaf,acru,,22,45.6,2018,
A03E,leaf,acru,,21.9,107.4,2018,
A03E,leaf,fagr,,22,77.2,2018,
A03E,leaf,pogr,,7.2,9.8,2018,
A03E,leaf,bepa,,7.1,12.8,2018,
A03E,leaf,quru,,7.2,15.3,2018,
A03E,misc,,,7.2,28.8,2018,
A03E,fwd,,,7.2,76.2,2018,
A03E,leaf,acsa,,21.9,73,2018,
A03E,leaf,pogr,,21.9,150.1,2018,
A01W,leaf,pogr,,22.1,75.3,2018,
A01W,leaf,fagr,,21.9,67.9,2018,
A01W,leaf,acru,,22,44.5,2018,
A01W,leaf,acsa,,6.9,16.2,2018,
A01W,misc,,,6.9,9.5,2018,
A01W,leaf,pogr,,6.9,7.4,2018,
A01W,leaf,quru,,6.9,7.7,2018,
A01W,leaf,bepa,,7.1,42.5,2018,
A01W,fwd,,,6.9,7.9,2018,
A02E,leaf,quru,,7.1,7.1,2018,
A02E,leaf,bepa,,7,16.4,2018,
A02E,fwd,,,22,45.4,2018,
A02E,leaf,acru,,22,101.3,2018,
A02E,leaf,acsa,,22.1,58.9,2018,
A02E,leaf,acsa,,22.1,119,2018,
A02E,leaf,pogr,,22,67.5,2018,
A02E,leaf,fagr,,6.9,15.4,2018,
A02E,misc,,,6.9,14.1,2018,
A04W,leaf,acsa,,7.2,13.2,2018,
A04W,leaf,acsa,,7.2,12.6,2018,
A04W,leaf,acsa,,7.2,12.6,2018,
A04W,leaf,acsa,,7.3,13.3,2018,
